,mat_data_range,strike,interest,divident,kappa_,rho_,theta_,v_0,ita_,heston_price,checkPrice,condition
686,348.0,1.5768290913214833,0.01860036373172124,0.03670042211711038,2.1111277503808763,-0.6318823169957859,0.06227734779031745,0.01908552226819328,0.011993346801469918,-0.01490023402242278,2.9518439326987954e-06,1.0
1276,347.0,1.4620769238379543,0.023390606017490143,0.047249701312325997,1.7692527980965602,-0.7371794767702671,0.053297983730987764,0.04063627109759548,0.03545237846894145,-1.6714283026767562,0.08007901210862634,1.0
2734,334.0,1.5650462747606009,0.02321587067744564,0.03990507961463383,1.7651587506954032,-0.7657571474712305,0.058888283760693175,0.010603685060074109,0.020082555567719557,-0.013251971304706279,1.1681082269854109e-06,1.0
3368,346.0,1.5831603865166723,0.02475598738256572,0.003582881858460169,2.1443205945003414,-0.6457012153665547,0.06981847100120331,0.019983288399631646,0.021934601716179128,-8.804306379404242e-05,0.0007052716073684302,1.0
4602,342.0,1.4850099009664368,0.017135357020896885,0.03929895871242258,1.5790389588888134,-0.8092344464441261,0.06213038366151004,0.018593616961983257,0.01467590955348459,-0.006420285678403041,3.0951402574605144e-05,1.0
5158,332.0,1.4000525688828795,0.019351165194029383,0.0018323368696272105,1.4180333396266231,-0.6908198136626548,0.05357950597172992,0.05190978863452348,0.028120951284654718,-0.037149381395069625,0.34529230878141437,1.0
6104,351.0,1.5895234017718998,0.015551228376640898,0.03947053850042135,1.7989321433723875,-0.8263538294633921,0.06336132448255853,0.0268616306109495,0.026436271667002825,-7.509369865391774e-05,0.0005871975202312273,1.0
8076,339.0,1.5830677903540833,0.02109236586022363,0.04899416987536362,2.296139714257937,-0.673865440320241,0.07008205913788787,0.021514383799528188,0.01283613001161283,-6.065537973305123e-06,2.2533948316805815e-06,1.0
9542,330.0,1.5956448716712464,0.01858969392801225,0.038031821609072466,2.4096121125908887,-0.6534146044454232,0.07463425447857072,0.01687975282517984,0.0156758366107096,-6.705487493030927e-06,1.6462856989921375e-06,1.0
10815,351.0,1.5799217368324316,0.018237243800526645,0.04789884988780063,1.9615378187701509,-0.6519254110948449,0.046355805550444634,0.017275333913011268,0.0277991576563504,-0.00024630269159791116,0.0006910681926672324,1.0
11607,351.0,1.536521063951676,0.02125136418214576,0.026999859701461654,1.5001221607965567,-0.7066900424280812,0.06865294407850447,0.010541199218206622,0.020398440969202698,-0.0030551114107963467,8.092339965392226e-06,1.0
11653,350.0,1.5877002728359342,0.01992178600477616,0.04619165950765101,1.9042588276214172,-0.5675889491197184,0.05022958872919602,0.011760069977193614,0.03228435320031589,-0.00013040807306839014,0.0007127541133172058,1.0
12527,357.0,1.53800396268318,0.02435298196710079,0.019080568135089862,2.0385398895900013,-0.8252433135654649,0.06046624790652979,0.012911434153866828,0.02540444356153064,-0.00013348172919350548,0.0005144414093105343,1.0
13896,336.0,1.5527986071089264,0.019719488281950377,0.04928006792717986,2.1680893600039317,-0.6731740819584261,0.07213372121586893,0.011718048919592685,0.010674997476640415,-5.2176006369195085e-09,4.0906139589350844e-09,1.0
15801,343.0,1.5586197834214979,0.016101542915225642,0.02396990254289813,1.6721903434895533,-0.7491219196840804,0.05955872434686524,0.01489993322963517,0.017403724570918273,-0.010847103285932651,4.960456647551566e-06,1.0
15918,333.0,1.582020331049741,0.016032431169103408,0.023518931183164046,1.513316803025388,-0.8221467870243014,0.07275657672179928,0.025541083730235226,0.01018664069242908,-3.18661360135242e-08,4.1692913598579865e-07,1.0
16984,336.0,1.4580521059397045,0.01871296927977787,0.01310207465612004,2.4110455021620036,-0.7845823002336326,0.05633071410386078,0.010848216081824215,0.010812799443291887,-0.010332196897874214,2.8502422897339454e-06,1.0
17163,343.0,1.5937016501241639,0.017136766430767756,0.027341204708732345,2.2954364970237884,-0.6984243761814231,0.05011694071209245,0.010622310637773576,0.014969186027320875,-0.019603617803056327,4.611597144307282e-07,1.0
